#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
110,Estonia,"13,469",+451,123,+1,"8,182",+574,"5,164",17,"10,151",93,"494,885","372,958","1,326,919",Europe,99,"10,788",3
111,Guinea,"13,167",+24,76,,"12,204",+50,887,24,991,6,"76,906","5,790","13,282,123",Africa,"1,009","174,765",173
112,DRC,"13,132",+145,337,+1,"11,753",+59,"1,042",,145,4,,,"90,698,943",Africa,"6,907","269,136",
113,Maldives,"13,106",+36,47,,"12,154",+153,905,12,"24,067",86,"248,889","457,035","544,573",Asia,42,"11,587",2
114,Tajikistan,"12,308",+39,87,,"11,718",+41,503,,"1,278",9,,,"9,627,875",Asia,782,"110,665",
115,Botswana,"11,531",+789,34,,"8,978","+1,066","2,519",1,"4,862",14,"438,332","184,820","2,371,672",Africa,206,"69,755",5
116,Cyprus,"11,523",+348,54,+2,"2,057",,"9,412",15,"9,514",45,"629,102","519,440","1,211,116",Asia,105,"22,428",2
117,French Guiana,"11,318",+35,70,,"9,995",,"1,253",1,"37,485",232,"84,302","279,209","301,931",South America,27,"4,313",4
118,Cabo Verde,"10,938",+71,107,+1,"10,454",+32,377,23,"19,582",192,"105,008","187,998","558,560",Africa,51,"5,220",5
119,Jamaica,"10,911",+47,259,+1,"6,614",+114,"4,038",10,"3,678",87,"116,857","39,389","2,966,706",North America,272,"11,454",25
120,Zimbabwe,"10,424",+181,280,+3,"8,754",+83,"1,390",,697,19,"183,098","12,243","14,954,771",Africa,"1,435","53,410",82
121,Malta,"10,197",+96,148,+2,"8,015",+128,"2,034",18,"23,068",335,"436,377","987,171","442,048",Europe,43,"2,987",1
122,Haiti,"9,331",+18,233,,"8,114",+23,984,,814,20,"34,734","3,030","11,461,670",North America,"1,228","49,192",330
123,Gabon,"9,239",,60,,"9,089",,90,7,"4,110",27,"303,373","134,963","2,247,829",Africa,243,"37,464",7
124,Mauritania,"9,005",+142,181,+2,"7,785",+5,"1,039",10,"1,916",39,"106,996","22,761","4,700,936",Africa,522,"25,972",44
125,Cuba,"8,531",+75,136,,"7,770",+56,625,4,753,12,"1,146,603","101,257","11,323,640",North America,"1,327","83,262",10
126,Guadeloupe,"8,427",,149,,"2,242",,"6,036",7,"21,059",372,"77,192","192,906","400,153",North America,47,"2,686",5
127,Syria,"8,147",+88,432,+6,"3,748",+59,"3,967",,461,24,,,"17,679,391",Asia,"2,170","40,925",
128,Réunion,"8,102",,40,,"7,172",,890,17,"9,022",45,"48,859","54,406","898,043",Africa,111,"22,451",18
129,Bahamas,"7,549",+6,163,,"5,934",,"1,452",,"19,119",413,"43,794","110,914","394,847",North America,52,"2,422",9
130,Belize,"7,236","+1,382",164,+16,"3,571",+420,"3,501",3,"18,059",409,"41,035","102,413","400,681",North America,55,"2,443",10
131,Andorra,"6,904",+62,77,+1,"6,066",+78,761,20,"89,294",996,"168,635","2,181,057","77,318",Europe,11,"1,004",0
132,Trinidad and Tobago,"6,725",+21,121,,"5,861",+18,743,38,"4,799",86,"37,155","26,512","1,401,432",North America,208,"11,582",38
133,Hong Kong,"6,590",+90,111,+1,"5,423",+29,"1,056",21,876,15,"4,153,109","552,058","7,522,958",Asia,"1,142","67,774",2
134,Eswatini,"6,474",+19,122,,"6,044",+12,308,11,"5,556",105,"63,144","54,188","1,165,284",Africa,180,"9,552",18
135,Uruguay,"6,455",+230,80,,"4,707",+123,"1,668",23,"1,855",23,"448,386","128,888","3,478,893",South America,539,"43,486",8
136,Malawi,"6,043",+3,185,,"5,472",+1,386,4,313,10,"75,150","3,886","19,337,447",Africa,"3,200","104,527",257
137,Rwanda,"6,011",+17,50,,"5,596",+21,365,,459,4,"635,310","48,545","13,087,133",Africa,"2,177","261,743",21
138,Nicaragua,"5,838",,161,,"4,225",,"1,452",,877,24,,,"6,658,097",North America,"1,140","41,355",
139,Congo,"5,774",,94,,"4,988",,692,,"1,036",17,,,"5,575,170",Africa,966,"59,310",
140,Djibouti,"5,689",+7,61,,"5,591",+4,37,,"5,723",61,"92,691","93,241","994,099",Africa,175,"16,297",11
141,Guyana,"5,528",+79,151,,"4,618",+88,759,4,"7,014",192,"31,040","39,382","788,178",South America,143,"5,220",25
142,Martinique,"5,520",,41,,98,,"5,381",9,"14,715",109,"65,748","175,263","375,140",North America,68,"9,150",6
143,Iceland,"5,448",+15,27,,"5,216",+14,205,2,"15,921",79,"395,072","1,154,540","342,190",Europe,63,"12,674",1
144,Suriname,"5,322",+2,117,,"5,203",+3,2,2,"9,038",199,"21,961","37,293","588,875",South America,111,"5,033",27
145,Mayotte,"5,181",,49,,"2,964",,"2,168",4,"18,800",178,"25,231","91,555","275,583",Africa,53,"5,624",11
146,Equatorial Guinea,"5,159",+3,85,,"5,023",+14,51,,"3,627",60,"70,998","49,922","1,422,192",Africa,276,"16,732",20
147,Aruba,"4,923",+21,45,,"4,733",+15,145,4,"46,027",421,"51,383","480,395","106,960",North America,22,"2,377",2
148,CAR,"4,918",,63,,"1,924",,"2,931",2,"1,011",13,"32,711","6,723","4,865,316",Africa,989,"77,227",149
149,Mali,"4,880",+43,162,+1,"3,281",+18,"1,437",,238,8,"102,913","5,021","20,494,922",Africa,"4,200","126,512",199
150,Somalia,"4,525",,121,,"3,480",,924,,281,8,,,"16,078,950",Africa,"3,553","132,884",
151,Thailand,"4,039",+13,60,,"3,832",+10,147,1,58,0.9,"977,854","13,994","69,875,158",Asia,"17,300","1,164,586",71
152,Gambia,"3,767",+2,123,,"3,610",+1,34,2,"1,541",50,"25,521","10,438","2,445,100",Africa,649,"19,879",96
153,South Sudan,"3,154",+36,62,+1,"2,977",+11,115,,280,6,"61,101","5,431","11,249,587",Africa,"3,567","181,445",184
154,Burkina Faso,"3,062",+52,68,,"2,679",+12,315,,145,3,,,"21,143,479",Africa,"6,905","310,934",
155,Benin,"3,055",,44,,"2,907",+68,104,,249,4,"345,560","28,194","12,256,440",Africa,"4,012","278,555",35
156,Togo,"3,039",+25,65,,"2,567",+24,407,,364,8,"151,802","18,157","8,360,369",Africa,"2,751","128,621",55
157,Curaçao,"2,740",+82,7,,"1,245",+27,"1,488",12,"16,669",43,"23,520","143,082","164,381",North America,60,"23,483",7
158,Guinea-Bissau,"2,441",,44,,"2,327",,70,5,"1,228",22,"29,037","14,609","1,987,569",Africa,814,"45,172",68
159,Sierra Leone,"2,416",,74,,"1,840",+2,502,,300,9,,,"8,045,456",Africa,"3,330","108,722",
160,Yemen,"2,239",+22,624,+3,"1,525",+7,90,4,74,21,"16,855",560,"30,102,770",Asia,"13,445","48,242","1,786"
161,Lesotho,"2,145",+3,44,,"1,278",,823,,998,20,"26,464","12,312","2,149,503",Africa,"1,002","48,852",81
162,New Zealand,"2,069",+9,25,,"1,974",+11,70,,414,5,"1,291,609","258,213","5,002,100",Australia/Oceania,"2,418","200,084",4
163,San Marino,"1,714",+27,46,,"1,356",+16,312,11,"50,468","1,354","18,364","540,722","33,962",Europe,20,738,2
164,Chad,"1,708",+3,102,,"1,539",,67,,103,6,,,"16,623,129",Africa,"9,733","162,972",
165,Liberia,"1,663",+68,83,,"1,358",+15,222,2,326,16,"34,105","6,677","5,107,698",Africa,"3,071","61,539",150
166,Niger,"1,640",,76,,"1,227",,337,9,67,3,"47,083","1,916","24,570,480",Africa,"14,982","323,296",522
167,Channel Islands,"1,458",+61,48,,"1,012",,398,10,"8,353",275,"199,491","1,142,907","174,547",Europe,120,"3,636",1
