#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
172,Sao Tome and Principe,985,+3,17,,928,+2,40,,"4,461",77,"7,498","33,960","220,791",Africa,224,"12,988",29
173,Turks and Caicos,746,,6,,700,,40,1,"19,164",154,"6,244","160,399","38,928",North America,52,"6,488",6
174,Diamond Princess,712,,13,,659,,40,4,,,,,,,,,
175,Mongolia,712,+13,,,345,+3,367,3,216,,"126,147","38,232","3,299,512",Asia,"4,634",,26
176,Saint Martin,690,,12,,598,,80,7,"17,724",308,"7,149","183,633","38,931",North America,56,"3,244",5
177,Burundi,677,+4,1,,575,,101,,56,0.08,"62,215","5,171","12,031,057",Africa,"17,771","12,031,057",193
178,Papua New Guinea,645,,7,,588,,50,,72,0.8,"30,027","3,331","9,014,951",Australia/Oceania,"13,977","1,287,850",300
179,Taiwan,625,+2,7,,555,+2,63,,26,0.3,"108,549","4,554","23,834,350",Asia,"38,135","3,404,907",220
180,Comoros,610,+3,7,,585,+6,18,,696,8,,,"877,007",Africa,"1,438","125,287",
181,Monaco,600,+6,3,,530,,67,5,"15,246",76,"51,953","1,320,112","39,355",Europe,66,"13,118",1
182,Eritrea,566,+8,,,477,+4,89,,159,,"21,655","6,072","3,566,198",Africa,"6,301",,165
183,Tanzania,509,,21,,183,,305,7,8,0.3,,,"60,409,120",Africa,"118,682","2,876,625",
184,Faeroe Islands,500,,,,498,,2,,"10,217",,"165,822","3,388,341","48,939",Europe,98,,0
185,Mauritius,498,+1,10,,440,,48,,391,8,"289,552","227,523","1,272,629",Africa,"2,555","127,263",4
186,Bhutan,386,,,,367,+4,19,,498,,"198,422","256,015","775,041",Asia,"2,008",,4
187,Isle of Man,369,,25,,338,,6,1,"4,330",293,"18,159","213,094","85,216",Europe,231,"3,409",5
