#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
136,Rwanda,"6,528",+100,56,+2,"5,892",+66,580,,499,4,"665,450","50,817","13,095,052",Africa,"2,006","233,840",20
137,Malawi,"6,063",+8,186,,"5,491",+1,386,4,313,10,"78,863","4,076","19,349,642",Africa,"3,191","104,030",245
138,Congo,"6,049",,99,,"4,988",,962,,"1,084",18,,,"5,578,520",Africa,922,"56,349",
139,Nicaragua,"5,887",,162,,"4,225",,"1,500",,884,24,,,"6,660,035",North America,"1,131","41,111",
140,Guyana,"5,879",+40,154,,"5,044",+100,681,6,"7,458",195,"33,656","42,696","788,271",South America,134,"5,119",23
141,Djibouti,"5,725",+4,61,,"5,612",+4,52,,"5,757",61,"95,102","95,632","994,453",Africa,174,"16,303",10
142,Mali,"5,721",+72,189,+4,"3,566",+29,"1,966",,279,9,"113,248","5,522","20,509,323",Africa,"3,585","108,515",181
143,Martinique,"5,575",,42,,98,,"5,435",10,"14,861",112,"67,378","179,611","375,133",North America,67,"8,932",6
144,Iceland,"5,552",+13,28,,"5,346",+23,178,3,"16,222",82,"406,296","1,187,150","342,245",Europe,62,"12,223",1
145,Mayotte,"5,551",,52,,"2,964",,"2,535",4,"20,131",189,"28,914","104,858","275,745",Africa,50,"5,303",10
146,Suriname,"5,349",+10,117,,"5,221",+1,11,2,"9,081",199,"22,629","38,419","589,004",South America,110,"5,034",26
147,Equatorial Guinea,"5,185",+2,85,,"5,058",+10,42,,"3,643",60,"72,627","51,026","1,423,331",Africa,275,"16,745",20
148,Aruba,"5,044",+13,46,,"4,890",+11,108,4,"47,153",430,"55,294","516,906","106,971",North America,21,"2,325",2
149,CAR,"4,936",,63,,"1,924",,"2,949",2,"1,014",13,"32,711","6,720","4,867,383",Africa,986,"77,260",149
150,Somalia,"4,579",,121,,"3,529",,929,,285,8,,,"16,089,895",Africa,"3,514","132,974",
151,Thailand,"4,192",+12,60,,"3,915",+12,217,1,60,0.9,"977,854","13,993","69,879,453",Asia,"16,670","1,164,658",71
152,Burkina Faso,"3,894",+315,71,+2,"2,858",+66,965,,184,3,,,"21,157,626",Africa,"5,433","297,995",
153,Gambia,"3,779",,123,,"3,645",,11,1,"1,544",50,"26,851","10,974","2,446,776",Africa,647,"19,892",91
154,Curaçao,"3,576",+75,10,,"1,708",+70,"1,858",4,"21,752",61,"28,250","171,840","164,397",North America,46,"16,440",6
155,Togo,"3,221",+19,66,,"2,745",+19,410,,385,8,"160,114","19,141","8,365,153",Africa,"2,597","126,745",52
156,South Sudan,"3,206",+25,62,,"3,043",+40,101,1,285,6,"63,753","5,666","11,252,813",Africa,"3,510","181,497",177
157,Benin,"3,090",,44,,"2,972",,74,,252,4,"360,194","29,369","12,264,275",Africa,"3,969","278,734",34
158,Guinea-Bissau,"2,444",,44,,"2,337",,63,5,"1,229",22,"33,033","16,610","1,988,716",Africa,814,"45,198",60
159,Sierra Leone,"2,440",+2,75,,"1,850",,515,,303,9,,,"8,049,452",Africa,"3,299","107,326",
160,Lesotho,"2,250",+36,44,,"1,319",+17,887,,"1,047",20,"27,964","13,007","2,149,920",Africa,956,"48,862",77
161,Niger,"2,199",+39,80,,"1,276",+7,843,9,89,3,"50,488","2,053","24,592,159",Africa,"11,183","307,402",487
162,New Zealand,"2,092",,25,,"2,010",,57,,418,5,"1,332,470","266,382","5,002,100",Australia/Oceania,"2,391","200,084",4
163,Yemen,"2,083",+1,606,,"1,383",,94,23,69,20,"17,404",578,"30,118,960",Asia,"14,459","49,701","1,731"
164,Channel Islands,"1,977",+51,48,,"1,088",,841,10,"11,324",275,"199,491","1,142,652","174,586",Europe,88,"3,637",1
165,San Marino,"1,932",+24,51,+1,"1,575",+20,306,5,"56,885","1,502","21,402","630,156","33,963",Europe,18,666,2
166,Chad,"1,751",+6,102,,"1,603",+8,46,,105,6,,,"16,634,766",Africa,"9,500","163,086",
167,Liberia,"1,676",,83,,"1,358",,235,2,328,16,"35,957","7,036","5,110,629",Africa,"3,049","61,574",142
168,Liechtenstein,"1,482",+16,20,,"1,296",,166,21,"38,818",524,"15,808","414,060","38,178",Europe,26,"1,909",2
169,Vietnam,"1,395",+4,35,,"1,238",,122,,14,0.4,"1,339,465","13,705","97,733,842",Asia,"70,060","2,792,395",73
